唐代墓志汇编续集 PUA 悬置（2026-09-10）
套语定谳：E20F窀(437) E3AB楸(125) E3E3昊(44) E4C0/E4C1琅(132) E266阎(43)
其余 4192 处为志文俗字/泐字（无点校本可核），回退 □：

U+E77A ×3  …清於爵台；临水题篇，词工於马。英灵未泯，有足言焉。曾祖…
U+E390 ×3  …则紫寅飞□□其风规，则青昊卷。淡神交於利铣，植灵府以贞…
U+E2C4 ×3  …贤变俗，其如是乎！岂期灰吹玉，漏催金箭，弥留不获，卒於…
U+E38E ×3  …鹤翼於环琳，慕萁士而为心，跃尾於璧水，播甚宣尼之教，重…
U+E085 ×3  …洪源，氵瓜分＊国，<瓜包>散川。因官命氏，锡土斯藩。…
U+E348 ×3  …之仪如其礼也。是以哀缠陟屺，厚地以摧容；痛贯心灵，高…
U+E1DC ×3  …汉名臣，令问宣於三杰。捎云从，未足语其高；括地腾波，无…
U+E188 ×3  …承密鼓之荣，光被姒璜之数，驱驷於地乳，畅斑毂於天麋，威…
U+E21E ×3  …司户参军、商州上津县令。次子□□仁□州苍溪县令。次子…
U+E209 ×3  …综，高尚不仕。次子绎，交州交、潭州衡山县令。幼子绩，益…
U+E29A ×3  …也。□□周驸马出牧商甸，作镇关。明年太极升遐，公主自商…
U+E233 ×3  …其嗣焉，一朝丘墓，万古风烟。山直北，水横前，未央武库…
U+E423 ×3  …月廿三日葬於共陆西，礼也。将漆难久，松门易摧，珠帘地发…
U+E3A1 ×3  …。寻以恪勤只务，忠慎奉公，掌骥以呈材，效鹰而处事。迁…
U+E302 ×3  …破琴，十明□告，无泉路深，不贞琬，何宣德音。⏎（录自…
U+E3E4 ×3  …日，又摧藏兮。千年永闭，何时兮。一去不归，令心伤兮。交…
U+E1A7 ×3  …县君李氏，渤海人也。曾祖纟，皇朝礼部尚书；祖普弘，左…
U+E444 ×3  …授之□□，守之惟夤，□岐山大，亟奉周王之驾；长扬校猎，…
U+E226 ×3  …密设，临危匪惮，在险宁折。扌而有刚，勇而弥列，解纷释难…
U+E3D8 ×3  …阶玉京，师大宗，位上清，荐环，刻金名。侣九仙而高视，齐…
U+E072 ×3  …赐为豆卢氏，自兹□发鸿源，京国。故金紫光禄大夫，光禄…
U+E3DB ×3  …⏎仍以惠宣第十五男尚□奉御主丧祭，以宠终也。至其载十…
U+E2F9 ×3  …疾而终，以其月卅日权宁神於官店道东，依吕才八向也。呜呼…
U+E3AF ×3  …夫人平昌孟氏墓志　侄乡贡进士阳秦士衡撰夫人姓孟氏，平昌…
U+E3B9 ×3  …以为氏。君即伯阳之後胤也。自源分流，别别子为祖，从宦□…
U+E4B5 ×3  …则，京兆万年人。其先出自<风>叔之裔子董父，实性好龙，…
U+E174 ×3  …刺史；曾祖崇，常州刺史；王父，秘书少监、檀州刺史；父季…
U+E261 ×3  …方，桂管观察使、赠司徒。公名，是时为工部尚书、判度支。…
U+E2AD ×3  …曰：⏎礼华之殁兮霜铺蕙兰，娥失素兮云翳蝉娟。□秋凋兮…
